Contig,Gene,log2-fold change (after/before drought),TAIR or Pfam ID,Symbol,Protein product of domain type
m01oak08959CC,m01oak08959CC-t01.1,1.77,D:PF00270 F:PF00271,DEAD Helicase_C,DEAD/DEAH box helicase ~ Helicase conserved C-terminal domain
m01oak01099cF,m01oak01099cF-t01.1,1.77,D:PF02933 D:PF02359 D:PF07724 F:PF05496 D:PF07728 F:PF00004,CDC48_2 CDC48_N AAA_2 RuvB_N AAA_5 AAA,"Cell division protein 48 (CDC48), domain 2 ~ Cell division protein 48 (CDC48), N-terminal domain ~ AAA domain (Cdc48 subfamily) ~ Holliday junction DNA helicase ruvB N-terminus ~ AAA domain (dynein-related subfamily) ~ ATPase family associated with various cellular activities (AAA)"
m01oak47264Jz,,1.77,,,
m01oak55698Cz,,1.77,,,
m01oak03572cF,m01oak03572cF-t01.1,1.77,AT1G43690,,ubiquitin interaction motif-containing protein
m01oak09403CC,m01oak09403CC-t01.1,1.77,AT2G22010,RKP,related to KPC1
m01oak01066CC,m01oak01066CC-t01.1,1.77,AT5G46630,,Clathrin adaptor complexes medium subunit family protein
m01oak29296Cz,,1.77,,,
m01oak25985Cz,,1.77,,,
m01oak00562cC,m01oak00562cC-t01.1,1.77,D:PF00270 F:PF00271,DEAD Helicase_C,DEAD/DEAH box helicase ~ Helicase conserved C-terminal domain
m01oak72204Cz,,1.77,,,
m01oak83126Cz,,1.77,,,
m01oak47527Cz,,1.77,,,
m01oak51570Cz,,1.77,,,
m01oak35040Cz,,1.77,,,
m01oak41013SC,m01oak41013SC-t01.1,1.77,r:PF12854 r:PF13041 r:PF13812 F:PF01535,PPR_1 2x:PPR_2 4x:PPR_3 8x:PPR,PPR repeat ~ PPR repeat family ~ Pentatricopeptide repeat domain ~ PPR repeat
m01oak30940cC,m01oak30940cC-t01.1,1.77,AT1G27990,,unknown protein
m01oak17706CC,m01oak17706CC-t01.1,1.76,AT4G16330,,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
m01oak35962Cz,,1.76,,,
m01oak18503Cz,,1.76,,,
m01oak74999Cz,,1.76,,,
m01oak54773Cz,,1.76,,,
m01oak04156CC,m01oak04156CC-t01.1,1.76,F:PF02362 D:PF00847,B3 AP2,B3 DNA binding domain ~ AP2 domain
m01oak55036Cz,,1.76,,,
m01oak29620Cz,,1.76,,,
m01oak08711cC,m01oak08711cC-t01.1,1.76,AT1G58110,,Basic-leucine zipper (bZIP) transcription factor family protein
m01oak17413Cz,,1.76,,,
m01oak35933Cz,,1.76,,,
m01oak64286Cz,,1.76,,,
m01oak32753cC,m01oak32753cC-t01.1,1.76,AT1G03940,,HXXXD-type acyl-transferase family protein
m01oak55475Cz,,1.76,,,
m01oak24213cC,m01oak24213cC-t01.1,1.76,D:PF00646,F-box,F-box domain
m01oak35764Cz,,1.76,,,
m01oak40676Cz,,1.76,,,
m01oak29526cf,,1.76,,,
m01oak15873cC,,1.76,,,
m01oak22516Cz,,1.76,,,
m01oak06091cC,m01oak06091cC-t01.1,1.76,AT4G28450,,nucleotide binding; protein binding
m01oak10997cf,m01oak10997cf-t01.1,1.76,AT3G22260,,Cysteine proteinases superfamily protein
m01oak08908CF,m01oak08908CF-t01.1,1.76,F:PF07797,DUF1639,Protein of unknown function (DUF1639)
m01oak65000Cz,,1.76,,,
m01oak43769Cz,,1.76,,,
m01oak23160Cz,,1.76,,,
m01oak52183Cz,,1.76,,,
m01oak66457Cz,,1.76,,,
m01oak07805cf,m01oak07805cf-t01.1,1.76,AT2G23780,,RING/U-box superfamily protein
m01oak23101Cz,,1.76,,,
m01oak35838cC,m01oak35838cC-t01.1,1.76,F:PF04669,Polysacc_synt_4,Polysaccharide biosynthesis
m01oak16498Cz,,1.76,,,
m01oak33820Cz,,1.76,,,
m01oak34196Cz,,1.76,,,
m01oak24318Cc,m01oak24318Cc-t01.1,1.76,D:PF00067,p450,Cytochrome P450
m01oak45348Cz,,1.76,,,
m01oak42249Cz,,1.75,,,
m01oak29233Cz,,1.75,,,
m01oak05751Cz,,1.75,,,
m01oak04937CC,m01oak04937CC-t01.1,1.75,AT5G62550,,unknown protein
m01oak36205Cz,,1.75,,,
m01oak45211Cz,,1.75,,,
m01oak20220cC,m01oak20220cC-t01.1,1.75,AT5G10520,RBK1,ROP binding protein kinases 1
m01oak04482Cz,,1.75,,,
m01oak57644Cz,,1.75,,,
m01oak18608Cz,,1.75,,,
m01oak13722Cm,m01oak13722Cm-t01.2,1.75,AT5G17270,,Protein prenylyltransferase superfamily protein
m01oak11956Cz,,1.75,,,
m01oak17238Cz,,1.75,,,
m01oak06011cC,m01oak06011cC-t01.1,1.75,AT3G01560,,Protein of unknown function (DUF1421)
m01oak12192cC,m01oak12192cC-t01.1,1.75,AT1G07040,,unknown protein
m01oak60694Jz,,1.75,,,
m01oak28342Cz,,1.75,,,
m01oak39412Jz,,1.75,,,
m01oak08313jC,m01oak08313jC-t01.1,1.75,AT1G08620,PKDM7D,Transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein
m01oak25295Cz,,1.75,,,
m01oak08039cC,m01oak08039cC-t01.1,1.75,AT4G25160,,U-box domain-containing protein kinase family protein
m01oak50942Cz,,1.75,,,
m01oak41957Cz,,1.75,,,
m01oak11058CC,m01oak11058CC-t01.1,1.75,F:PF05653 F:PF13536 F:PF00892,Mg_trans_NIPA EmrE EamA,Magnesium transporter NIPA ~ Multidrug resistance efflux transporter ~ EamA-like transporter family
m01oak08308cC,m01oak08308cC-t01.1,1.75,AT3G26000,,Ribonuclease inhibitor
m01oak19401Cz,,1.75,,,
m01oak55172Cz,,1.75,,,
m01oak07202CC,m01oak07202CC-t01.1,1.75,AT1G44770,,unknown protein
m01oak65866Cz,,1.75,,,
m01oak00650Cz,,1.75,,,
m01oak00792cC,m01oak00792cC-t01.1,1.75,F:PF01907,Ribosomal_L37e,Ribosomal protein L37e
m01oak30303Cz,,1.75,,,
m01oak25964Cz,,1.75,,,
m01oak28871Cz,,1.75,,,
m01oak12985cC,m01oak12985cC-t01.1,1.75,AT2G20940,,Protein of unknown function (DUF1279)
m01oak59111Cz,,1.75,,,
m01oak72465Cz,,1.75,,,
m01oak08997CF,m01oak08997CF-t01.1,1.75,AT5G62020,HSFB2A,heat shock transcription factor B2A
m01oak08305Cz,,1.75,,,
m01oak18749CC,m01oak18749CC-t01.1,1.75,AT4G33910,,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
m01oak29031Cz,,1.75,,,
m01oak34978Cz,,1.75,,,
m01oak21414cF,,1.75,,,
m01oak12030Cz,,1.75,,,
m01oak09771Ci,m01oak09771Ci-t01.1,1.75,AT4G24200,,Transcription elongation factor (TFIIS) family protein
m01oak05968CF,m01oak05968CF-t01.1,1.75,AT5G46740,UBP21,ubiquitin-specific protease 21
m01oak10496cC,m01oak10496cC-t01.1,1.75,AT3G61610,,Galactose mutarotase-like superfamily protein
m01oak75271Cz,,1.75,,,
m01oak06875cC,m01oak06875cC-t01.1,1.75,F:PF00682,HMGL-like,HMGL-like
m01oak39684Cz,,1.75,,,
m01oak55039Cz,,1.75,,,
m01oak01209CT,,1.75,,,
m01oak05623cF,m01oak05623cF-t01.1,1.75,AT3G06810,IBR3,acyl-CoA dehydrogenase-related
m01oak52699Cz,,1.75,,,
m01oak06425Cz,,1.75,,,
m01oak03933Cz,,1.75,,,
m01oak11229cC,m01oak11229cC-t01.1,1.75,AT1G70610,TAP1,transporter associated with antigen processing protein 1
m01oak03185cF,"m01oak03185cF-t01.1, t01.2",1.74,"F:PF08132, F:PF01536","AdoMetDC_leader, SAM_decarbox","S-adenosyl-l-methionine decarboxylase leader peptide, Adenosylmethionine decarboxylase"
m01oak01621ci,m01oak01621ci-t01.1,1.74,D:PF13893 D:PF14259 D:PF00076,RRM_5 RRM_6 RRM_1,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain) ~ RNA recognition motif (a.k.a. RRM, RBD, or RNP domain) ~ RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
m01oak50104Cz,,1.74,,,
m01oak08294Cz,,1.74,,,
m01oak27503Cz,,1.74,,,
m01oak22894Cz,,1.74,,,
m01oak46349Cz,,1.74,,,
m01oak40407Cz,,1.74,,,
m01oak33497Cz,,1.74,,,
m01oak41568Jc,,1.74,,,
m01oak62200Cz,,1.74,,,
m01oak25008Cz,,1.74,,,
m01oak32845Cz,,1.74,,,
m01oak06587JC,m01oak06587JC-t01.1,1.74,r:PF00400,4x:WD40,"WD domain, G-beta repeat"
m01oak03495ci,m01oak03495ci-t01.1,1.74,D:PF04408,HA2,Helicase associated domain (HA2)
m01oak61717Cz,,1.74,,,
m01oak60613Cz,,1.74,,,
m01oak01895Jc,m01oak01895Jc-t01.1,1.74,AT1G20100,,unknown protein
m01oak63386Jz,,1.74,,,
m01oak40747Cz,,1.74,,,
m01oak42879Cz,,1.74,,,
m01oak65541Cz,,1.74,,,
m01oak04550cF,m01oak04550cF-t01.1,1.74,D:PF00719,Pyrophosphatase,Inorganic pyrophosphatase
m01oak47344Cz,,1.74,,,
m01oak46568Cz,,1.74,,,
m01oak21885Cz,,1.74,,,
m01oak61261Cz,,1.74,,,
m01oak30396Cz,,1.74,,,
m01oak00527CC,m01oak00527CC-t01.1,1.74,D:PF03719 D:PF00333,Ribosomal_S5_C Ribosomal_S5,"Ribosomal protein S5, C-terminal domain ~ Ribosomal protein S5, N-terminal domain"
m01oak02817cC,m01oak02817cC-t01.1,1.74,AT5G01220,SQD2,sulfoquinovosyldiacylglycerol 2
m01oak02510jC,m01oak02510jC-t01.1,1.74,AT3G59990,MAP2B,methionine aminopeptidase 2B
m01oak50296Jz,,1.74,,,
m01oak01576CC,m01oak01576CC-t01.1,1.74,AT2G30110,UBA1,ubiquitin-activating enzyme 1
m01oak51306Jz,,1.74,,,
m01oak00873Cz,,1.74,,,
m01oak08265cC,,1.74,,,
m01oak11669cC,m01oak11669cC-t01.1,1.74,AT3G59430,,unknown protein
m01oak20763CC,m01oak20763CC-t01.1,1.74,AT1G67190,,F-box/RNI-like superfamily protein
m01oak53782Cz,,1.74,,,
m01oak19749Cz,,1.74,,,
m01oak01043CC,m01oak01043CC-t01.1,1.74,AT5G09900,EMB2107,"26S proteasome regulatory subunit, putative (RPN5)"
m01oak22307Cc,m01oak22307Cc-t01.1,1.74,F:PF07734 D:PF12937 D:PF00646,FBA_1 F-box-like F-box,F-box associated ~ F-box-like ~ F-box domain
m01oak50172Cz,,1.74,,,
m01oak44331Cz,,1.74,,,
m01oak41765Cz,,1.74,,,
m01oak23425Cz,,1.74,,,
m01oak12762Cz,m01oak12762Cz-t01.1,1.74,AT1G14620,DECOY,decoy
m01oak74985Cz,,1.74,,,
m01oak05279Ct,,1.74,,,
m01oak54456Cz,,1.74,,,
m01oak31017CF,,1.74,,,
m01oak40732Cz,,1.73,,,
m01oak22116cf,m01oak22116cf-t01.1,1.73,F:PF02485,Branch,Core-2/I-Branching enzyme
m01oak67416Cz,,1.73,,,
m01oak40113Jz,,1.73,,,
m01oak06216cC,m01oak06216cC-t01.1,1.73,AT4G28640,IAA11,indole-3-acetic acid inducible 11
m01oak22546Jz,,1.73,,,
m01oak34907Cz,,1.73,,,
m01oak15046cC,m01oak15046cC-t01.1,1.73,AT4G36930,SPT,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
m01oak32356Cz,,1.73,,,
m01oak18092cf,,1.73,,,
m01oak10829cC,m01oak10829cC-t01.1,1.73,F:PF01238,PMI_typeI,Phosphomannose isomerase type I
m01oak18609Cz,,1.73,,,
m01oak11477jf,m01oak11477jf-t01.1,1.73,AT2G46060,,transmembrane protein-related
m01oak02384CC,m01oak02384CC-t01.1,1.73,AT3G60190,DL1E,DYNAMIN-like 1E
m01oak58956Cz,,1.73,,,
m01oak28758Cz,,1.73,,,
m01oak67061Cz,,1.73,,,
m01oak08395cF,m01oak08395cF-t01.1,1.73,D:PF13014 D:PF00013,2x:KH_3 2x:KH_1,KH domain ~ KH domain
m01oak68339Cz,,1.73,,,
m01oak24150Cz,,1.73,,,
m01oak25234Cz,,1.73,,,
m01oak67290Cz,,1.73,,,
m01oak40735Cz,,1.73,,,
m01oak23768cC,m01oak23768cC-t01.1,1.73,F:PF01734,Patatin,Patatin-like phospholipase
m01oak64484Jz,,1.73,,,
m01oak36542Cz,,1.73,,,
m01oak32274JC,m01oak32274JC-t01.1,1.73,F:PF13520,AA_permease_2,Amino acid permease
m01oak32106Cz,,1.73,,,
m01oak28212Cz,,1.73,,,
m01oak05924CC,m01oak05924CC-t01.1,1.73,AT5G35700,FIM2,fimbrin-like protein 2
m01oak05875ct,m01oak05875ct-t01.1,1.73,AT2G37250,ADK,adenosine kinase
m01oak13240Ct,m01oak13240Ct-t01.1,1.73,AT1G79510,,Uncharacterized conserved protein (DUF2358)
m01oak17858Cz,,1.73,,,
m01oak24200CC,m01oak24200CC-t01.1,1.73,F:PF08276 F:PF00954 D:PF01453,PAN_2 S_locus_glycop B_lectin,PAN-like domain ~ S-locus glycoprotein family ~ D-mannose binding lectin
m01oak01919CC,m01oak01919CC-t01.1,1.73,AT2G42690,,alpha/beta-Hydrolases superfamily protein
m01oak13392cC,,1.73,,,
m01oak24778Cz,,1.73,,,
m01oak16404CC,m01oak16404CC-t01.1,1.73,AT2G48010,RKF3,receptor-like kinase in in flowers 3
m01oak11218Cz,,1.73,,,
m01oak00688CC,m01oak00688CC-t01.1,1.73,AT4G17090,CT-BMY,chloroplast beta-amylase
m01oak19148cC,m01oak19148cC-t01.1,1.73,AT1G44750,PUP11,purine permease 11
m01oak46759Cz,,1.73,,,
m01oak32527Cz,,1.73,,,
m01oak49749Cz,,1.73,,,
m01oak48619Cz,,1.73,,,
m01oak64056Cz,,1.73,,,
m01oak59547Cz,,1.73,,,
m01oak34771Cz,,1.73,,,
m01oak33316Cz,,1.73,,,
m01oak01594CT,m01oak01594CT-t01.1,1.73,AT2G25110,SDF2,stromal cell-derived factor 2-like protein precursor
m01oak72785Jz,,1.73,,,
m01oak38384CF,,1.73,,,
m01oak51027Cz,,1.73,,,
m01oak67168Jz,,1.73,,,
m01oak04603CC,m01oak04603CC-t01.1,1.73,AT1G69070,,unknown protein
m01oak29902cc,,1.72,,,
m01oak40377Cz,,1.72,,,
m01oak07507Cz,,1.72,,,
m01oak45406Jz,,1.72,,,
m01oak01787cF,m01oak01787cF-t01.1,1.72,F:PF12328 F:PF01918,Rpp20 Alba,Rpp20 subunit of nuclear RNase MRP and P ~ Alba
m01oak34295Jz,,1.72,,,
m01oak02307cC,m01oak02307cC-t01.1,1.72,AT3G05420,ACBP4,acyl-CoA binding protein 4
m01oak60172Cz,,1.72,,,
m01oak20007Cz,,1.72,,,
m01oak18497Cz,,1.72,,,
m01oak01213CC,m01oak01213CC-t01.1,1.72,AT5G18400,,"Cytokine-induced anti-apoptosis inhibitor 1, Fe-S biogenesis"
m01oak29683Jz,,1.72,,,
m01oak23385Cz,,1.72,,,
m01oak56985Jz,,1.72,,,
m01oak28932Cz,,1.72,,,
m01oak23660Cz,,1.72,,,
m01oak34799Cz,,1.72,,,
m01oak00440cC,m01oak00440cC-t01.1,1.72,D:PF01248,Ribosomal_L7Ae,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family
m01oak00451JC,m01oak00451JC-t01.1,1.72,F:PF00012,HSP70,Hsp70 protein
m01oak05089cC,m01oak05089cC-t01.1,1.72,AT4G31430,,unknown protein
m01oak49970Cz,,1.72,,,
m01oak18016Cz,,1.72,,,
m01oak19163Cz,,1.72,,,
m01oak02275Cz,,1.72,,,
m01oak25402Ct,,1.72,,,
m01oak31344Cz,,1.72,,,
m01oak08547cC,m01oak08547cC-t01.1,1.72,AT3G11480,BSMT1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
m01oak01220cC,m01oak01220cC-t01.1,1.72,AT5G47770,FPS1,farnesyl diphosphate synthase 1
m01oak11415cf,,1.72,,,
m01oak07205CC,m01oak07205CC-t01.1,1.72,F:PF02365,NAM,No apical meristem (NAM) protein
m01oak15456Cz,,1.72,,,
m01oak03816CC,m01oak03816CC-t01.1,1.72,AT1G05520,,Sec23/Sec24 protein transport family protein
m01oak11543cF,,1.72,,,
m01oak01935CC,m01oak01935CC-t01.1,1.72,AT5G04600,,RNA-binding (RRM/RBD/RNP motifs) family protein
m01oak01017Ct,,1.72,,,
m01oak03730Cz,,1.72,,,
m01oak26983Cz,,1.72,,,
m01oak00323cT,m01oak00323cT-t01.1,1.72,AT1G24510,,TCP-1/cpn60 chaperonin family protein
m01oak56782Cz,,1.72,,,
m01oak00721cC,,1.72,,,
m01oak20932Cz,,1.72,,,
m01oak24885CT,,1.72,,,
m01oak11785CT,m01oak11785CT-t01.1,1.72,AT5G63540,RMI1,Domain of unknown function (DUF1767)
m01oak09420CC,m01oak09420CC-t01.1,1.72,AT2G38580,,Mitochondrial ATP synthase D chain-related protein
m01oak00615CC,m01oak00615CC-t01.1,1.72,F:PF09439 F:PF04670 D:PF00009 D:PF00071 F:PF08477 D:PF00025 F:PF01926,SRPRB Gtr1_RagA GTP_EFTU Ras Miro Arf MMR_HSR1,Signal recognition particle receptor beta subunit ~ Gtr1/RagA G protein conserved region ~ Elongation factor Tu GTP binding domain ~ Ras family ~ Miro-like protein ~ ADP-ribosylation factor family ~ 50S ribosome-binding GTPase
m01oak15994Cz,,1.72,,,
m01oak06228Cz,,1.72,,,
m01oak04850cC,m01oak04850cC-t01.1,1.72,AT2G03820,,nonsense-mediated mRNA decay NMD3 family protein
m01oak17002CC,m01oak17002CC-t01.1,1.72,AT2G41870,,Remorin family protein
m01oak39877Jz,,1.72,,,
m01oak00203Cz,,1.72,,,
m01oak16962Cz,,1.72,,,
m01oak34563Cz,,1.72,,,
m01oak21486Cz,,1.72,,,
m01oak16596Ct,m01oak16596Ct-t01.1,1.72,F:PF00141,peroxidase,Peroxidase
m01oak40414Cz,,1.71,,,
m01oak18523Cz,,1.71,,,
m01oak40156Cz,,1.71,,,
m01oak37088Cz,,1.71,,,
m01oak31450Cz,,1.71,,,
m01oak01419Cz,,1.71,,,
m01oak64673Cz,,1.71,,,
m01oak39216Ci,,1.71,,,
m01oak14181cC,m01oak14181cC-t01.1,1.71,F:PF02121,IP_trans,Phosphatidylinositol transfer protein
m01oak36118Cz,,1.71,,,
m01oak49975Cz,,1.71,,,
m01oak68623Cz,,1.71,,,
m01oak32213Jz,,1.71,,,
m01oak34298Jz,,1.71,,,
m01oak23707cC,m01oak23707cC-t01.1,1.71,F:PF14368,LTP_2,Probable lipid transfer
m01oak46309JF,m01oak46309JF-t01.1,1.71,r:PF12854 r:PF13041 r:PF13812 F:PF01535,PPR_1 5x:PPR_2 6x:PPR_3 10x:PPR,PPR repeat ~ PPR repeat family ~ Pentatricopeptide repeat domain ~ PPR repeat
m01oak38296Cz,,1.71,,,
m01oak02599cC,m01oak02599cC-t01.1,1.71,AT3G47550,,RING/FYVE/PHD zinc finger superfamily protein
m01oak53153Jz,,1.71,,,
m01oak75632Cz,,1.71,,,
m01oak54618jt,m01oak54618jt-t01.1,1.71,D:PF13966,zf-RVT,zinc-binding in reverse transcriptase
m01oak67147Cz,,1.71,,,
m01oak46297Cz,,1.71,,,
m01oak15051Cz,,1.71,,,
m01oak34486Cz,,1.71,,,
m01oak18159cT,m01oak18159cT-t01.1,1.71,AT1G29760,,Putative adipose-regulatory protein (Seipin)
m01oak08329Cz,,1.71,,,
m01oak54884Cz,,1.71,,,
m01oak33272Cz,,1.71,,,
m01oak24242CF,m01oak24242CF-t01.1,1.71,AT5G03570,IREG2,iron-regulated 2
m01oak53751Cz,,1.71,,,
m01oak25416Cz,,1.71,,,
m01oak31374cC,m01oak31374cC-t01.1,1.71,F:PF00201,UDPGT,UDP-glucoronosyl and UDP-glucosyl transferase
m01oak25103Cz,,1.70,,,
m01oak21812Cz,,1.70,,,
m01oak62012Jz,,1.70,,,
m01oak05703jC,m01oak05703jC-t01.1,1.70,AT2G20370,MUR3,Exostosin family protein
m01oak03025CF,m01oak03025CF-t01.1,1.70,AT2G27950,,Ring/U-Box superfamily protein
m01oak63050Cm,m01oak63050Cm-t01.1,1.70,F:PF00078 D:PF13456,RVT_1 RVT_3,Reverse transcriptase (RNA-dependent DNA polymerase) ~ Reverse transcriptase-like
m01oak35471CT,m01oak35471CT-t01.1,1.70,D:PF00155,Aminotran_1_2,Aminotransferase class I and II
m01oak36864Cz,,1.70,,,
m01oak19652Cz,,1.70,,,
m01oak29050Cz,,1.70,,,
m01oak17542Cz,,1.70,,,
m01oak50468Cz,,1.70,,,
m01oak54874Cz,,1.70,,,
m01oak06584CC,m01oak06584CC-t01.1,1.70,D:PF14826 D:PF08512 F:PF08644 D:PF00557,FACT-Spt16_Nlob Rtt106 SPT16 Peptidase_M24,FACT complex subunit SPT16 N-terminal lobe domain ~ Histone chaperone Rttp106-like ~ FACT complex subunit (SPT16/CDC68) ~ Metallopeptidase family M24
m01oak32679Cz,,1.70,,,
m01oak28909Cz,,1.70,,,
m01oak06954ct,,1.70,,,
m01oak01197cF,m01oak01197cF-t01.1,1.70,F:PF00676,E1_dh,Dehydrogenase E1 component
m01oak53908Cz,,1.70,,,
m01oak00473Cz,,1.70,,,
m01oak02111CC,m01oak02111CC-t01.1,1.70,AT2G21940,SK1,shikimate kinase 1
m01oak01489CT,m01oak01489CT-t01.1,1.70,AT3G17000,UBC32,ubiquitin-conjugating enzyme 32
m01oak26286Cz,,1.70,,,
m01oak35745Cz,,1.70,,,
m01oak72375Cz,,1.70,,,
m01oak48900Cz,,1.70,,,
m01oak30866CT,,1.70,,,
m01oak74664Cz,,1.70,,,
m01oak72050Ct,,1.70,,,
m01oak18514Cz,,1.70,,,
m01oak52096Cz,,1.70,,,
m01oak07788SC,m01oak07788SC-t01.1,1.70,AT5G14020,,Endosomal targeting BRO1-like domain-containing protein
m01oak04220cC,m01oak04220cC-t01.1,1.70,F:PF04059 D:PF13893 D:PF14259 D:PF00076,RRM_2 2x:RRM_5 2x:RRM_6 2x:RRM_1,"RNA recognition motif 2 ~ RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain) ~ RNA recognition motif (a.k.a. RRM, RBD, or RNP domain) ~ RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
m01oak11127cC,m01oak11127cC-t01.1,1.70,AT5G04480,,UDP-Glycosyltransferase superfamily protein
m01oak00970jC,m01oak00970jC-t01.1,1.70,AT2G46290,,Transducin/WD40 repeat-like superfamily protein
m01oak07602CC,m01oak07602CC-t01.1,1.70,AT2G27980,,Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger domain
m01oak11729CC,m01oak11729CC-t01.1,1.70,AT5G54910,,DEA(D/H)-box RNA helicase family protein
m01oak24877Cz,,1.70,,,
m01oak40247Jc,,1.70,,,
m01oak07590CC,m01oak07590CC-t01.1,1.70,AT5G61330,,rRNA processing protein-related
m01oak71308Cz,,1.70,,,
m01oak41966Cz,,1.70,,,
m01oak25449Cz,,1.70,,,
m01oak10436CC,,1.70,,,
m01oak01595CC,m01oak01595CC-t01.1,1.70,AT3G23620,,Ribosomal RNA processing Brix domain protein
m01oak31134Cz,,1.70,,,
m01oak54646Cz,,1.70,,,
m01oak35455Cz,,1.69,,,
m01oak13725Cz,,1.69,,,
m01oak30881Cz,,1.69,,,
m01oak23133Cz,,1.69,,,
m01oak05303cC,m01oak05303cC-t01.1,1.69,AT4G34100,,RING/U-box superfamily protein
m01oak02813jC,m01oak02813jC-t01.1,1.69,D:PF13561,adh_short_C2,Enoyl-(Acyl carrier protein) reductase
m01oak03352cC,m01oak03352cC-t01.1,1.69,D:PF00155,Aminotran_1_2,Aminotransferase class I and II
m01oak12569Cz,,1.69,,,
m01oak03445CC,m01oak03445CC-t01.1,1.69,AT1G75560,,zinc knuckle (CCHC-type) family protein
m01oak65013Cf,m01oak65013Cf-t01.1,1.69,D:PF13191 D:PF13401 D:PF05729 D:PF00931,AAA_16 AAA_22 NACHT NB-ARC,AAA ATPase domain ~ AAA domain ~ NACHT domain ~ NB-ARC domain
m01oak07891cC,m01oak07891cC-t01.1,1.69,D:PF13191 F:PF01061 D:PF00005,AAA_16 ABC2_membrane ABC_tran,AAA ATPase domain ~ ABC-2 type transporter ~ ABC transporter
m01oak58885cf,,1.69,,,
m01oak31420cF,m01oak31420cF-t01.1,1.69,F:PF07065,D123,D123
m01oak22702cC,m01oak22702cC-t01.1,1.69,D:PF13921 D:PF00249,2x:Myb_DNA-bind_6 2x:Myb_DNA-binding,Myb-like DNA-binding domain ~ Myb-like DNA-binding domain
m01oak14858Cz,,1.69,,,
m01oak42646cT,m01oak42646cT-t01.1,1.69,F:PF00183,HSP90,Hsp90 protein
m01oak53452Cz,,1.69,,,
m01oak49803Cz,,1.69,,,
m01oak00744JC,m01oak00744JC-t01.1,1.69,D:PF00189 D:PF07650,Ribosomal_S3_C KH_2,"Ribosomal protein S3, C-terminal domain ~ KH domain"
m01oak15489Cz,,1.69,,,
m01oak17539cC,m01oak17539cC-t01.1,1.69,D:PF00847,AP2,AP2 domain
m01oak73898Cz,,1.69,,,
m01oak63249Cz,,1.69,,,
m01oak02373JC,m01oak02373JC-t01.1,1.69,AT5G53000,TAP46,2A phosphatase associated protein of 46 kD
m01oak43485ci,m01oak43485ci-t01.1,1.69,D:PF05699,Dimer_Tnp_hAT,hAT family C-terminal dimerisation region
m01oak64426Cz,,1.69,,,
m01oak10853CF,m01oak10853CF-t01.1,1.69,AT5G07740,,actin binding
m01oak10716Cz,,1.69,,,
m01oak28118Cz,,1.69,,,
m01oak02981cF,m01oak02981cF-t01.1,1.69,AT5G53460,GLT1,NADH-dependent glutamate synthase 1
m01oak08568cf,,1.69,,,
m01oak41067Cz,,1.69,,,
m01oak03544CC,m01oak03544CC-t01.1,1.69,D:PF00168,2x:C2,C2 domain
m01oak20743Cz,,1.69,,,
m01oak64879Jz,,1.69,,,
m01oak27097cC,m01oak27097cC-t01.2,1.69,D:PF09378 D:PF00306 D:PF02874 F:PF00006,HAS-barrel ATP-synt_ab_C ATP-synt_ab_N ATP-synt_ab,"HAS barrel domain ~ ATP synthase alpha/beta chain, C terminal domain ~ ATP synthase alpha/beta family, beta-barrel domain ~ ATP synthase alpha/beta family, nucleotide-binding domain"
m01oak02769cC,m01oak02769cC-t01.1,1.69,F:PF04670 D:PF00071 F:PF08477 D:PF00025,Gtr1_RagA Ras Miro Arf,Gtr1/RagA G protein conserved region ~ Ras family ~ Miro-like protein ~ ADP-ribosylation factor family
m01oak40662Cz,,1.69,,,
m01oak17820Cz,,1.69,,,
m01oak30335Cz,,1.69,,,
m01oak00631CC,m01oak00631CC-t01.1,1.69,D:PF01248,Ribosomal_L7Ae,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family
m01oak71756Cz,,1.69,,,
m01oak45718Cz,,1.69,,,
m01oak03404cC,m01oak03404cC-t01.1,1.69,AT1G14830,DL1C,DYNAMIN-like 1C
m01oak14589Cf,m01oak14589Cf-t01.1,1.69,D:PF12047,DNMT1-RFD,Cytosine specific DNA methyltransferase replication foci domain
m01oak64189Cz,,1.69,,,
m01oak78633Ci,,1.69,,,
m01oak14247cC,m01oak14247cC-t01.1,1.69,D:PF00847,AP2,AP2 domain
m01oak72493Cz,,1.69,,,
m01oak00155cC,m01oak00155cC-t01.1,1.69,D:PF00044 D:PF02800,Gp_dh_N Gp_dh_C,"Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain ~ Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain"
m01oak02288jC,m01oak02288jC-t01.1,1.69,AT4G38600,KAK,HEAT repeat; HECT-domain (ubiquitin-transferase)
m01oak06816Cz,,1.69,,,
